study_id,year,model,learning_regime,dataset_variant,split_or_protocol,accuracy_pct,balanced_accuracy_pct,auc_roc,f1_pct,precision_pct,recall_pct,specificity_pct,nll,comparability,verification,notes,accuracy_sd,auc_sd,protocol_family,study_title,source_url,evidence_locator
histokt2022_single_glas,2022,ResNet-18; source=GlaS,single-stage source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,76.66,,,,,,,,low,"primary paper full text, Table 2",Restricted and modified PCam protocol; not comparable with full official training split.,0.95,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 2
histokt2022_single_osteosarcoma,2022,ResNet-18; source=Osteosarcoma,single-stage source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,77.67,,,,,,,,low,"primary paper full text, Table 2",Restricted and modified PCam protocol; not comparable with full official training split.,2.11,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 2
histokt2022_single_bcss,2022,ResNet-18; source=BCSS,single-stage source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,78.52,,,,,,,,low,"primary paper full text, Table 2",Restricted and modified PCam protocol; not comparable with full official training split.,0.27,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 2
histokt2022_two_adp,2022,ResNet-18; source=ADP,ImageNet then source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,77.36,,,,,,,,low,"primary paper full text, Table 3",Restricted and modified PCam protocol; not comparable with full official training split.,1.42,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 3
histokt2022_two_mhist,2022,ResNet-18; source=MHIST,ImageNet then source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,82.57,,,,,,,,low,"primary paper full text, Table 3",Restricted and modified PCam protocol; not comparable with full official training split.,0.8,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 3
histokt2022_two_bach,2022,ResNet-18; source=BACH,ImageNet then source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,81.63,,,,,,,,low,"primary paper full text, Table 3",Restricted and modified PCam protocol; not comparable with full official training split.,1.52,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 3
histokt2022_two_ajlymph,2022,ResNet-18; source=AJ-Lymph,ImageNet then source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,80.0,,,,,,,,low,"primary paper full text, Table 3",Restricted and modified PCam protocol; not comparable with full official training split.,2.28,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 3
histokt2022_two_pcam,2022,ResNet-18; source=PCam,ImageNet then source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,78.67,,,,,,,,low,"primary paper full text, Table 3",Restricted and modified PCam protocol; not comparable with full official training split.,2.57,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 3
histokt2022_two_crc,2022,ResNet-18; source=CRC,ImageNet then source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,78.27,,,,,,,,low,"primary paper full text, Table 3",Restricted and modified PCam protocol; not comparable with full official training split.,1.37,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 3
histokt2022_two_glas,2022,ResNet-18; source=GlaS,ImageNet then source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,84.4,,,,,,,,low,"primary paper full text, Table 3",Restricted and modified PCam protocol; not comparable with full official training split.,1.81,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 3
histokt2022_two_osteosarcoma,2022,ResNet-18; source=Osteosarcoma,ImageNet then source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,78.86,,,,,,,,low,"primary paper full text, Table 3",Restricted and modified PCam protocol; not comparable with full official training split.,2.88,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 3
histokt2022_two_bcss,2022,ResNet-18; source=BCSS,ImageNet then source pretraining; all layers deep-tuned on labeled PCam,standardized/rescaled PCam; low-contrast patches filtered,2000 train / 400 validation / 32322 test; 250 epochs; 3 trials,78.16,,,,,,,,low,"primary paper full text, Table 3",Restricted and modified PCam protocol; not comparable with full official training split.,1.08,,histokt_2000_train_standardized,HistoKT: Cross Knowledge Transfer in Computational Pathology,https://arxiv.org/abs/2201.11246,Table 3
jaiswal2019_vgg16,2019,VGG16,ImageNet transfer; iterative pseudo-labeling; test-time augmentation,modified PCam/Kaggle with 498 outliers removed,authors' 51%/49% test partitions and their union; 10 fine-tuning rounds,,,.9745,,,,,,low,"primary full text, Tables 1–2",AUC on authors' 100% test data; not the official PCam test protocol.,,,modified_pcam_kaggle,Semi-Supervised Learning for Cancer Detection of Lymph Node Metastases,https://arxiv.org/abs/1906.09587,Tables 1–2
jaiswal2019_inceptionresnetv2,2019,InceptionResNetV2,ImageNet transfer; iterative pseudo-labeling; test-time augmentation,modified PCam/Kaggle with 498 outliers removed,authors' 51%/49% test partitions and their union; 10 fine-tuning rounds,,,.9766,,,,,,low,"primary full text, Tables 1–2",AUC on authors' 100% test data; not the official PCam test protocol.,,,modified_pcam_kaggle,Semi-Supervised Learning for Cancer Detection of Lymph Node Metastases,https://arxiv.org/abs/1906.09587,Tables 1–2
jaiswal2019_xception,2019,Xception,ImageNet transfer; iterative pseudo-labeling; test-time augmentation,modified PCam/Kaggle with 498 outliers removed,authors' 51%/49% test partitions and their union; 10 fine-tuning rounds,,,.9752,,,,,,low,"primary full text, Tables 1–2",AUC on authors' 100% test data; not the official PCam test protocol.,,,modified_pcam_kaggle,Semi-Supervised Learning for Cancer Detection of Lymph Node Metastases,https://arxiv.org/abs/1906.09587,Tables 1–2
jaiswal2019_inceptionv3,2019,InceptionV3,ImageNet transfer; iterative pseudo-labeling; test-time augmentation,modified PCam/Kaggle with 498 outliers removed,authors' 51%/49% test partitions and their union; 10 fine-tuning rounds,,,.9774,,,,,,low,"primary full text, Tables 1–2",AUC on authors' 100% test data; not the official PCam test protocol.,,,modified_pcam_kaggle,Semi-Supervised Learning for Cancer Detection of Lymph Node Metastases,https://arxiv.org/abs/1906.09587,Tables 1–2
jaiswal2019_seresnet101,2019,SE-ResNet101,ImageNet transfer; iterative pseudo-labeling; test-time augmentation,modified PCam/Kaggle with 498 outliers removed,authors' 51%/49% test partitions and their union; 10 fine-tuning rounds,,,.9783,,,,,,low,"primary full text, Tables 1–2",AUC on authors' 100% test data; not the official PCam test protocol.,,,modified_pcam_kaggle,Semi-Supervised Learning for Cancer Detection of Lymph Node Metastases,https://arxiv.org/abs/1906.09587,Tables 1–2
jaiswal2019_densenet201,2019,DenseNet201,ImageNet transfer; iterative pseudo-labeling; test-time augmentation,modified PCam/Kaggle with 498 outliers removed,authors' 51%/49% test partitions and their union; 10 fine-tuning rounds,,,.9794,,,,,,low,"primary full text, Tables 1–2",AUC on authors' 100% test data; not the official PCam test protocol.,,,modified_pcam_kaggle,Semi-Supervised Learning for Cancer Detection of Lymph Node Metastases,https://arxiv.org/abs/1906.09587,Tables 1–2
jaiswal2019_ensemble,2019,Ensemble of 7 SE-ResNet101 models,ImageNet transfer; iterative pseudo-labeling; test-time augmentation,modified PCam/Kaggle with 498 outliers removed,authors' 51%/49% test partitions and their union; 10 fine-tuning rounds,,,.9816,,,,,,low,"primary full text, Tables 1–2",AUC on authors' 100% test data; not the official PCam test protocol.,,,modified_pcam_kaggle,Semi-Supervised Learning for Cancer Detection of Lymph Node Metastases,https://arxiv.org/abs/1906.09587,Tables 1–2
selvan2020_rotationeq,2020,Rotation-equivariant CNN,supervised,modified PCam/Kaggle,about 220k train; 80:20 train/validation; about 57.5k Kaggle test,,,.963,,,,,,low,"primary full text, Table 1",Reported peak GPU memory: 11.0 GB.,,,modified_pcam_kaggle,Tensor Networks for Medical Image Classification,https://proceedings.mlr.press/v121/selvan20a.html,Table 1
selvan2020_densenet,2020,DenseNet,supervised,modified PCam/Kaggle,about 220k train; 80:20 train/validation; about 57.5k Kaggle test,,,.962,,,,,,low,"primary full text, Table 1",Reported peak GPU memory: 10.5 GB.,,,modified_pcam_kaggle,Tensor Networks for Medical Image Classification,https://proceedings.mlr.press/v121/selvan20a.html,Table 1
selvan2020_lotenet,2020,LoTeNet,supervised,modified PCam/Kaggle,about 220k train; 80:20 train/validation; about 57.5k Kaggle test,,,.943,,,,,,low,"primary full text, Table 1",Reported peak GPU memory: 0.8 GB.,,,modified_pcam_kaggle,Tensor Networks for Medical Image Classification,https://proceedings.mlr.press/v121/selvan20a.html,Table 1
selvan2020_tensornetx,2020,Tensor Net-X (bond dimension 10),supervised,modified PCam/Kaggle,about 220k train; 80:20 train/validation; about 57.5k Kaggle test,,,.908,,,,,,low,"primary full text, Table 1",Reported peak GPU memory: 5.2 GB.,,,modified_pcam_kaggle,Tensor Networks for Medical Image Classification,https://proceedings.mlr.press/v121/selvan20a.html,Table 1
shubin2021_baseline_22,2021,EfficientNet-B3 — Baseline,ImageNet initialization; limited-label training,modified PCam/Kaggle,22 labeled training samples; five runs,,,0.776,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_baseline_44,2021,EfficientNet-B3 — Baseline,ImageNet initialization; limited-label training,modified PCam/Kaggle,44 labeled training samples; five runs,,,0.745,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_baseline_83,2021,EfficientNet-B3 — Baseline,ImageNet initialization; limited-label training,modified PCam/Kaggle,83 labeled training samples; five runs,,,0.726,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_simclr_22,2021,EfficientNet-B3 — SimCLR,ImageNet initialization; limited-label training,modified PCam/Kaggle,22 labeled training samples; five runs,,,0.781,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_simclr_44,2021,EfficientNet-B3 — SimCLR,ImageNet initialization; limited-label training,modified PCam/Kaggle,44 labeled training samples; five runs,,,0.817,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_simclr_83,2021,EfficientNet-B3 — SimCLR,ImageNet initialization; limited-label training,modified PCam/Kaggle,83 labeled training samples; five runs,,,0.86,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_contrastive_predictive_coding_22,2021,EfficientNet-B3 — Contrastive Predictive Coding,ImageNet initialization; limited-label training,modified PCam/Kaggle,22 labeled training samples; five runs,,,0.706,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_contrastive_predictive_coding_44,2021,EfficientNet-B3 — Contrastive Predictive Coding,ImageNet initialization; limited-label training,modified PCam/Kaggle,44 labeled training samples; five runs,,,0.794,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_contrastive_predictive_coding_83,2021,EfficientNet-B3 — Contrastive Predictive Coding,ImageNet initialization; limited-label training,modified PCam/Kaggle,83 labeled training samples; five runs,,,0.814,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_rotation_prediction_22,2021,EfficientNet-B3 — Rotation prediction,ImageNet initialization; limited-label training,modified PCam/Kaggle,22 labeled training samples; five runs,,,0.739,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_rotation_prediction_44,2021,EfficientNet-B3 — Rotation prediction,ImageNet initialization; limited-label training,modified PCam/Kaggle,44 labeled training samples; five runs,,,0.76,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_rotation_prediction_83,2021,EfficientNet-B3 — Rotation prediction,ImageNet initialization; limited-label training,modified PCam/Kaggle,83 labeled training samples; five runs,,,0.824,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_vat_early_aggregation_22,2021,EfficientNet-B3 — VAT early aggregation,ImageNet initialization; limited-label training,modified PCam/Kaggle,22 labeled training samples; five runs,,,0.806,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_vat_early_aggregation_44,2021,EfficientNet-B3 — VAT early aggregation,ImageNet initialization; limited-label training,modified PCam/Kaggle,44 labeled training samples; five runs,,,0.809,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_vat_early_aggregation_83,2021,EfficientNet-B3 — VAT early aggregation,ImageNet initialization; limited-label training,modified PCam/Kaggle,83 labeled training samples; five runs,,,0.833,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_vat_late_aggregation_22,2021,EfficientNet-B3 — VAT late aggregation,ImageNet initialization; limited-label training,modified PCam/Kaggle,22 labeled training samples; five runs,,,0.796,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_vat_late_aggregation_44,2021,EfficientNet-B3 — VAT late aggregation,ImageNet initialization; limited-label training,modified PCam/Kaggle,44 labeled training samples; five runs,,,0.777,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_vat_late_aggregation_83,2021,EfficientNet-B3 — VAT late aggregation,ImageNet initialization; limited-label training,modified PCam/Kaggle,83 labeled training samples; five runs,,,0.822,,,,,,restricted-label,"primary full text, Table 4",,,,extreme_limited_labels_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
shubin2021_upper_bound,2021,EfficientNet-B3 supervised upper bound,ImageNet initialization; supervised,modified PCam/Kaggle,140816 labeled training samples; five runs,,,.989,,,,,,low,"primary full text, Table 4",,,,modified_pcam_kaggle,About Explicit Variance Minimization: Training Neural Networks for Medical Imaging With Limited Data Annotations,https://arxiv.org/abs/2107.02141,Table 4
rotaflip2021_baseline,2021,DenseNet-121 baseline,supervised scratch,official PCam images and WSI-disjoint splits,accuracy averaged over validation+test and eight transformed versions,82.76,,,,,,,,medium,"primary full text, Table 1",Nonstandard aggregate of validation and test predictions; do not rank against official test-only results.,,,official_images_nonstandard_evaluation,Rotaflip: A New CNN Layer for Regularization and Rotational Invariance in Medical Images,https://doi.org/10.1007/978-3-030-80432-9_24,Table 1
rotaflip2021_rotaflip5,2021,DenseNet-121 + Rotaflip 5%,supervised scratch,official PCam images and WSI-disjoint splits,accuracy averaged over validation+test and eight transformed versions,86.10,,,,,,,,medium,"primary full text, Table 1",Nonstandard aggregate of validation and test predictions; do not rank against official test-only results.,,,official_images_nonstandard_evaluation,Rotaflip: A New CNN Layer for Regularization and Rotational Invariance in Medical Images,https://doi.org/10.1007/978-3-030-80432-9_24,Table 1
rotaflip2021_augmentation,2021,DenseNet-121 + augmentation,supervised scratch,official PCam images and WSI-disjoint splits,accuracy averaged over validation+test and eight transformed versions,84.43,,,,,,,,medium,"primary full text, Table 1",Nonstandard aggregate of validation and test predictions; do not rank against official test-only results.,,,official_images_nonstandard_evaluation,Rotaflip: A New CNN Layer for Regularization and Rotational Invariance in Medical Images,https://doi.org/10.1007/978-3-030-80432-9_24,Table 1
rotaflip2021_rotaflip10_aug,2021,DenseNet-121 + Rotaflip 10% + augmentation,supervised scratch,official PCam images and WSI-disjoint splits,accuracy averaged over validation+test and eight transformed versions,85.42,,,,,,,,medium,"primary full text, Table 1",Nonstandard aggregate of validation and test predictions; do not rank against official test-only results.,,,official_images_nonstandard_evaluation,Rotaflip: A New CNN Layer for Regularization and Rotational Invariance in Medical Images,https://doi.org/10.1007/978-3-030-80432-9_24,Table 1
